species_details,,,,,recorded_present,,,,,status,,,,,,,,,,population_trends,,,,,,,,,photoperiod,,,larval_habitat,pupal_habit,,,,,,,,wingless_reduced_wing_females,morphological_characteristics,,,voltinism,,,,egg_stage,,,,,,,,,,,,larval_stage,,,,,,,,,,,,,pupal_stage,,,,,,,,,,,,,adult_stage,,,,,,,,,,,,overwintering_stage,,,,host_plant_specificity,,,,,ellenberg_traits,,,,,broad_host_plant_category,,,,,,,,,,,,,,,,,,host_plant_section,,,,,,,,common_hostplants,,,,,,,,,,,,,,,,,,,,habitat,,,,,,,,,,,,,,,,,,,,
abh_number,b&f_number,scientific_name ,common_name ,family,england ,scotland ,wales ,northern_ireland,republic_of_ireland,reintroduced,immigrant ,resident,extinct_gb ,extinct_i,red_list_gb ,red_list_ireland,gb_10_km_squares_(2000-2016),ireland_10_km_squares_(2000-2016),rarirty_gb,long_term_distribution_trend_gb,sig_long_term_distribution_trend_gb,range_long_term_distribution_trend_gb,short_term_distribution_trend_gb,sig_short_term_distribution_trend_gb,range_short_term_distribution_trend_gb,abundance_trend_gb,sig_abundance_trend_gb,range_abundance_trend_gb ,diurnal ,nocturnal ,easily_disturbed_by_day,communal_or_nest,below_ground,leaf_litter_moss_on_ground_soil_surface,hostplant_external,hostplant_internal_stem,hostplant_internal_root,other_vegetation_external,stone_inc_walls,dead_rotten_wood ,wingless_reduced_wing_female,forewing_minimum,forewing_maximum,estimated_dry_mass,obligate_univoltine,obligate_multivoltine,partial_generation,phenology_shift,egg_jan,egg_feb,egg_mar,egg_apr,egg_may,egg_jun,egg_jul,egg_aug,egg_sep,egg_oct,egg_nov,egg_dec,lar_jan,lar_feb,lar_mar,lar_apr,lar_may,lar_jun,lar_july,lar_aug,lar_sep,lar_oct,lar_nov,lar_dec,lar_multiple,pup_jan,pup_feb,pup_mar,pup_apr,pup_may,pup_jun,pup_jul,pup_aug,pup_sep,pup_oct,pup_nov,pup_dec,pup_multiple,ad_jan,ad_feb,ad_mar,ad_apr,ad_may,ad_jun,ad_jul,ad_agu,ad_sep,ad_oct,ad_nov,ad_dec,egg,larva,pupa,adult,specificity ,number_hostplants,hostplant_or_hostplant_category,hostplant_or_hostplant_category_scientific,hostplant_native_or_non-native,light_value,moisture_value,reaction,nitrogen,salt_tolerance,sedges,rushes,grasses ,forbs,ferns,broadleaf_trees,coniferous_trees,shrubs_dwarf_shrubs,mosses,lichens_algae,fungi,slime_moulds,detritus,aquatic_plants,dead_withered_leaves,live_dead_invertebrates_meat,galls,stored_goods,roots,stem_shoot,trunk_branches,seeds_berries_fruits,flowers_flower_buds_catkins,leaves_leaf_buds_fronds_external,leaves_internal_mines,other,willow Salix spp,birches Betula spp,Blackthorn (Prunus spinosa),oaks Quercus spp,Hawthorn Crataegus monogyna,docks Rumex spp,Hazel Corylus avellana,Heather Calluna vulgaris,grasses ,Bramble Rubus fruticosus,Bilberry Vaccinium myrtillus,Alder Alnus glutinosa,Pedunculate Oak Quercus robur,Aspen Populus tremula,elms Ulmus spp.,dandelions Taraxacum spp., Downy Birch Betula pubescens,hawthorns Crataegus spp.,Beech Fagus sylvatica,Honeysuckle Lonicera periclymenum,1. Woodland,1a_broadleaved_woodland,1b_coniferious_woodland,1c_scrub_and_hedgerows,1d_wet_woodland_alder_willow_carr,2_heathland,3_moorland,4_grassland,4a_calcareou_grassland,4b_wet_grassland,4c_acid_grassland,5_wetlands,5a_bog_mosses_mires,5b_fens_and_marshes,5c_reedbeds,6a_sand_dunes,6b_saltmarsh,6c_rocky_coast,6d_coastal_shingle,7_montane_upland,8_other
52.003,371,Sesia bembeciformis,Lunar Hornet Moth,Sesiidae,1,1,1,1,1,,,1,,,LC,LC,306,55,,,,,,,,,,,1,,,,,,,1,,,,,,15,19,38.2,1,,,,,,,,,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,,,,,,,,,,,,,1,1,1,,,,,,1,,,Oligophagous (Family),6,, ,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,1,,1,,,,,,3,
52.004,372,Paranthrene tabaniformis,Dusky Clearwing,Sesiidae,1,,,,,,,,1,,RE,  ,1,0,,,,,,,,,,,1,,,,,,,1,,,,,,13,14,18.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
52.005,376,Synanthedon scoliaeformis,Welsh Clearwing,Sesiidae,1,1,1,,1,,,1,,,LC,VU,40,4,Nationally Scarce,,,,,,,,,,1,,,,,,,1,,,,,,12,15,18.9,1,,,,,,,,,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,1,,,Oligophagous (Genus),2,, ,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,2,
52.006,375,Synanthedon spheciformis,White-barred Clearwing,Sesiidae,1,,1,,,,,1,,,LC,  ,25,0,Nationally Scarce,,,,,,,,,,1,,,,,,,1,,,,,,12,14,16.8,1,,,,,,,,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,,,,,,,,,,,1,1,,,,,,,,1,,,Oligophagous (Family),2,, ,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,cut stumps,,1,,,,,,,,,,1,,,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,
52.007,381,Synanthedon culiciformis,Large Red-belted Clearwing,Sesiidae,1,1,1,,,,,1,,,LC,  ,66,0,Nationally Scarce,,,,,,,,,,1,,,,,,,1,,,,,,12,14,16.8,1,,,,,,,,1,1,,,,,,,1,1,1,1,1,?,1,1,1,1,1,1,?,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,1c,,,Oligophagous (Family),3,, ,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,cut stumps,,1,,,,,,,,,,1,,,,,1,,,,1,1,,,,1,,,,,,,,,,,,,,3,
52.008,380,Synanthedon formicaeformis,Red-tipped Clearwing,Sesiidae,1,1,1,1,1,,,1,,,LC,LC,189,21,,,,,,,,,,,1,,,,,,,1,,,,,,9,11,7.5,1,,,,,,,,,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,Oligophagous (Genus),6,, ,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,1,,1,,,,,,,
52.009,377,Synanthedon flaviventris,Sallow Clearwing,Sesiidae,1,,,,,,,1,,,LC,  ,24,0,Nationally Scarce,,,,,,,,,,1,,,,,,,1,,,,,,8,9,4.6,1,,,,,,,,,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,,,,,,,,,,,,1,1,,,,,,,1,,,Oligophagous (Genus),2,, ,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,
52.01,378,Synanthedon andrenaeformis,Orange-tailed Clearwing,Sesiidae,1,,1,,,,,1,,,LC,  ,117,0,,,,,,,,,,,1,,,,,,,1,,,,,,9,11,7.5,1,,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,1,,,Oligophagous (Genus),2,, ,1,,,,,,,,,,,1,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,
52.011,379,Synanthedon myopaeformis,Red-belted Clearwing,Sesiidae,1,,1,,,,,1,,,LC,  ,183,0,,,,,,,,,,,1,,,,,,,1,,,,,,9,11,7.5,1,,,,,,,,,,1,,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,1,1,1,,,,,,1,,,Oligophagous (Family),2,, ,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,
52.012,374,Synanthedon vespiformis,Yellow-legged Clearwing,Sesiidae,1,,1,,,,,1,,,LC,  ,161,0,,,,,,,,,,,1,,,,,,,1,,,,,,10,12,10.1,1,,,,,,,,,1,1,1,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,1,,,Oligophagous (Family),2,, ,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,cut stumps,,,,1,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
